method_name,loc,num_params
loginCheck,3,3
userLogout,1,0
addNewStaff,3,5
updateStaff,1,4
deleteStaff,1,1
getStaffData,1,1
clockOut,1,0
clockOut,1,1
clockOutAll,1,0
addNewMenuItem,3,4
updateMenuItem,1,4
deleteMenuItem,1,1
getMenuItemData,1,1
createOrder,3,0
addNewOrderItem,1,3
deleteOrderItem,1,2
closeOrder,1,1
cancelOrder,1,1
closeAllOrder,1,0
generateSalesReport,4,0
generatePaymentReport,1,0
createStaffList,3,0
createOrderList,1,0
createOrderItemlList,1,1
createMenuList,1,1
createPaymentList,1,0
getStaffList,3,0
getMenuList,1,0
getOrderList,1,0
getTodaysOrderCount,1,0
findStaffByID,1,1
findMenuItemByID,1,1
findOrderByID,1,1
editStaffData,1,4
editStaffData,1,3
deleteStaff,1,1
addStaff,1,5
editMenuItemData,1,4
editMenuItemData,1,3
setMenuItemAsPromotionItem,1,2
resetMenuState,1,1
deleteMenuItem,1,1
addMenuItem,1,4
addOrder,1,2
addOrderItem,1,3
deleteOrderItem,1,2
cancelOrder,1,1
deleteOrder,1,1
closeOrder,1,1
closeAllOrder,1,0
getOrderState,1,1
getOrderTotalCharge,1,1
checkIfAllOrderClosed,1,0
checkIfAllStaffCheckout,1,0
forthClockOutAllStaff,1,0
loadFiles,3,0
loadStaffFile,1,0
loadManagerFile,1,0
loadMenuFile,1,0
loadWageInfoFile,1,0
updateStaffFile,3,1
updateWageFile,1,0
updateMenuFile,1,0
generateOrderReport,1,1
generatePaymentReport,1,1
compare,1,2
compare,1,2
getErrMessage,1,0
setWageRate,1,1
culculateWages,1,0
setWageRate,1,1
culculateWages,1,0
setName,1,1
setPrice,1,1
setType,1,1
setState,1,2
resetState,1,0
getID,1,0
getName,1,0
getPrice,1,0
gerRegularPrice,1,0
getType,1,0
getState,1,0
getOrderID,3,0
getStaffID,1,0
getStaffName,1,0
getState,1,0
getTotal,1,0
getOrderDetail,1,0
setOrderID,3,1
setState,1,1
addItem,1,2
deleteItem,1,1
calculateTotal,1,0
