method_name,loc,num_params,is_long_method,is_long_param
editOrderView,1,0,0,0
addOrderItemView,1,0,0,0
deleteOrderItemView,1,0,0,0
closeOrderView,1,0,0,0
cancelOrderView,1,0,0,0
generateReportView,1,0,0,0
addNewStaffView,1,0,0,0
staffManagementView,1,0,0,0
updateStaffView,1,1,0,0
choseEditMenuView,1,0,0,0
showOrderList,3,0,0,0
showOrderDetail,1,1,0,0
showStaffData,1,1,0,0
showPaymentList,1,0,0,0
showStaffList,1,0,0,0
showMenuList,1,0,0,0
sub_showMenuList,1,0,0,0
showMenuItemData,1,1,0,0
createMasterPanelConpornents,1,0,0,0
setLoginUserName,1,1,0,0
changeMode,1,1,0,0
setTodaysDate,1,1,0,0
setClockOutButton,1,0,0,0
displayMessage,1,1,0,0
displayErrorMessage,1,1,0,0
showYesNoDialog,1,2,0,0
showYesNoCancelDiaglog,1,2,0,0
showErrorDialog,1,2,0,0
showConfirmDialog,1,2,0,0
getIDfromString,1,2,0,0
actionPerformed,1,1,0,0
setUserID,1,1,0,0
setPassword,1,1,0,0
init,1,0,0,0
actionPerformed,1,1,0,0
changeMainPanel,1,1,0,0
init,1,0,0,0
showMenuList,1,1,0,0
actionPerformed,1,1,0,0
init,1,0,0,0
showMenuList,1,0,0,0
getSelectedMenuID,1,0,0,0
actionPerformed,1,1,0,0
setMenuID,1,1,0,0
setItemName,1,1,0,0
setPrice,1,1,0,0
setType,1,1,0,0
init,1,1,0,0
actionPerformed,1,1,0,0
init,1,0,0,0
showStaffList,1,0,0,0
getSelectedStaffID,1,0,0,0
actionPerformed,1,1,0,0
setUserID,1,1,0,0
setPassword,1,1,0,0
setLastName,1,1,0,0
setFirstName,1,1,0,0
init,1,1,0,0
actionPerformed,1,1,0,0
setTotalCount,1,1,0,0
setTotalSales,1,1,0,0
setCancelCount,1,1,0,0
setCancelTotal,1,1,0,0
showOrderList,1,0,0,0
init,1,0,0,0
getSelectedOrderID,1,0,0,0
getSelectedOrderStaffName,1,0,0,0
actionPerformed,1,1,0,0
init,1,2,0,0
setTotal,1,1,0,0
setOrderState,1,1,0,0
setStaffName,1,1,0,0
refleshOrderDetailList,1,0,0,0
getOrderDetailIndexFromString,1,1,0,0
actionPerformed,1,1,0,0
valueChanged,1,1,0,0
setTotalCount,1,1,0,0
setTotalSales,1,1,0,0
setCancelCount,1,1,0,0
setCancelTotal,1,1,0,0
showOrderList,1,0,0,0
init,1,0,0,0
actionPerformed,1,1,0,0
init,1,0,0,0
actionPerformed,1,1,0,0
verify,1,1,0,0
verify,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getTitle,1,0,0,0
setTitle,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getDate,1,0,0,0
setDate,1,1,0,0
toString,1,0,0,0
getUserid,1,0,0,0
setUserid,1,1,0,0
getBook_title,1,0,0,0
setBook_title,1,1,0,0
getAuthor,1,0,0,0
setAuthor,1,1,0,0
getPublisher,1,0,0,0
setPublisher,1,1,0,0
getIsbn_no,1,0,0,0
setIsbn_no,1,1,0,0
getPublication_date,1,0,0,0
setPublication_date,1,1,0,0
getName,1,0,0,0
setName,1,1,0,0
getPaperTitle,1,0,0,0
setPaperTitle,1,1,0,0
getAuthor,1,0,0,0
setAuthor,1,1,0,0
getPublicationDate,1,0,0,0
setPublicationDate,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getVolume,1,0,0,0
setVolume,1,1,0,0
getPageNo,1,0,0,0
setPageNo,1,1,0,0
getDoiNo,1,0,0,0
setDoiNo,1,1,0,0
getLink,1,0,0,0
setLink,1,1,0,0
getImpactFactor,1,0,0,0
setImpactFactor,1,1,0,0
getImpactType,1,0,0,0
setImpactType,1,1,0,0
getPublicationType,1,0,0,0
setPublicationType,1,1,0,0
getPercentage,1,0,0,0
setPercentage,1,1,0,0
getId,1,0,0,0
setId,1,1,0,0
getUserId,1,0,0,0
setUserId,1,1,0,0
getCollegeName,1,0,0,0
setCollegeName,1,1,0,0
getDegree,1,0,0,0
setDegree,1,1,0,0
getSubject,1,0,0,0
setSubject,1,1,0,0
getYear,1,0,0,0
setYear,1,1,0,0
getBoard,1,0,0,0
setBoard,1,1,0,0
getObtainedMarks,1,0,0,0
setObtainedMarks,1,1,0,0
getTotalMarks,1,0,0,0
setTotalMarks,1,1,0,0
toString,1,0,0,0
getId,1,0,0,0
setId,1,1,0,0
getUserId,1,0,0,0
setUserId,1,1,0,0
getEmployer,1,0,0,0
setEmployer,1,1,0,0
getDesignation,1,0,0,0
setDesignation,1,1,0,0
getJoiningDate,1,0,0,0
setJoiningDate,1,1,0,0
getLeavingDate,1,0,0,0
setLeavingDate,1,1,0,0
getWorking,1,0,0,0
setWorking,1,1,0,0
getExperience,1,0,0,0
setExperience,1,1,0,0
getSubjectThaught,1,0,0,0
setSubjectThaught,1,1,0,0
getCourse,1,0,0,0
setCourse,1,1,0,0
toString,1,0,0,0
getId,1,0,0,0
setId,1,1,0,0
getExportRole,1,0,0,0
setExportRole,1,1,0,0
getLevel,1,0,0,0
setLevel,1,1,0,0
getPlace,1,0,0,0
setPlace,1,1,0,0
getIsbnNo,1,0,0,0
